Gene,Gain,High-level Gain,Total Samples,Loss,High-level Loss,No Change,Net CNV
TTC3,3,0,193,19,0,173,-16
C2CD2,3,0,193,19,0,173,-16
RIPPLY3,3,0,193,18,0,173,-15
VPS26C,3,0,193,17,2,173,-14
SIM2,3,0,193,14,0,173,-11
BACE2,3,0,193,14,0,173,-11
HLCS,3,0,193,12,2,173,-9
MX2,3,0,193,11,0,173,-8
PLXNA2,3,0,193,11,0,173,-8
VAMP7,3,0,193,10,4,173,-7
PRDM15,3,0,193,10,1,173,-7
IL9R,3,0,193,10,0,173,-7
ZBTB16,3,0,193,10,0,173,-7
CCN4,3,0,193,9,0,173,-6
SPRY3,3,0,193,9,0,173,-6
DYRK1A,3,0,193,8,1,173,-5
KIRREL1,3,0,193,8,0,173,-5
RIPK4,3,0,193,7,0,173,-4
AGBL1,3,0,193,7,0,173,-4
KCNJ6,3,0,193,6,0,173,-3
PARVB,3,0,193,6,0,173,-3
SLC28A3,3,0,193,6,0,173,-3
FMNL2,3,0,193,5,0,173,-2
FAM3B,3,0,193,4,0,173,-1
NTM,3,0,193,2,0,173,1
PIGP,3,0,193,2,0,173,1
DYRK1A_ENST00000643624,3,0,193,0,0,0,3
FAM3B_ENST00000398646,3,0,193,0,0,0,3
DYRK1A_ENST00000647188,3,0,193,0,0,0,3
FAM3B_ENST00000398652,3,0,193,0,0,0,3
HLCS_ENST00000612277,3,0,193,0,0,0,3
IGKV1-33,3,0,193,0,0,0,3
ZBTB16_ENST00000392996,3,0,193,0,0,0,3
KIRREL1_ENST00000368173,3,0,193,0,0,0,3
PARVB_ENST00000619710,3,0,193,0,0,0,3
BACE2_ENST00000328735,3,0,193,0,0,0,3
TTC3_ENST00000354749,3,0,193,0,0,0,3
PRDM15_ENST00000422911,3,0,193,0,0,0,3
VAMP7_ENST00000460621,3,0,193,0,0,0,3
NTM_ENST00000374784,3,0,193,0,0,0,3
DYRK1A_ENST00000647504,3,0,193,0,0,0,3
CCN4_ENST00000517423,3,0,193,0,0,0,3
BACE2_ENST00000347667,3,0,193,0,0,0,3
NTM_ENST00000374786,3,0,193,0,0,0,3
CCN4_ENST00000519433,3,0,193,0,0,0,3
AGBL1_ENST00000441037,3,0,193,0,0,0,3
RIPK4_ENST00000352483,3,0,193,0,0,0,3
VAMP7_ENST00000286448,3,0,193,0,0,0,3
DYRK1A_ENST00000645424,3,0,193,0,0,0,3
MX1_ENST00000398598,3,0,193,0,0,0,3
KCNJ6_ENST00000645093,3,0,193,0,0,0,3
TTC3_ENST00000399010,3,0,193,0,0,0,3
PIGP_ENST00000360525,3,0,193,0,0,0,3
C2CD2_ENST00000329623,3,0,193,0,0,0,3
PARVB_ENST00000338758,3,0,193,0,0,0,3
HLCS_ENST00000336648,3,0,193,0,0,0,3
DYRK1A_ENST00000398960,3,0,193,0,0,0,3
VPS26C_ENST00000476950,3,0,193,0,0,0,3
PIGP_ENST00000399103,3,0,193,0,0,0,3
VPS26C_ENST00000399001,3,0,193,0,0,0,3
MX1_ENST00000288383,3,0,193,0,0,0,3
TTC3_ENST00000540756,3,0,193,0,0,0,3
PARVB_ENST00000404989,3,0,193,0,0,0,3
IL9R_ENST00000369423,3,0,193,0,0,0,3
PIGP_ENST00000399098,3,0,193,0,0,0,3
CCN4_ENST00000220856,3,0,193,0,0,0,3
TTC3_ENST00000355666,3,0,193,0,0,0,3
VPS26C_ENST00000398998,3,0,193,0,0,0,3
MX1_ENST00000619682,3,0,193,0,0,0,3
DYRK1A_ENST00000338785,3,0,193,0,0,0,3
DYRK1A_ENST00000644942,3,0,193,0,0,0,3
NTM_ENST00000374791,3,0,193,0,0,0,3
MX1_ENST00000455164,3,0,193,0,0,0,3
DYRK1A_ENST00000647425,3,0,193,0,0,0,3
PRDM15_ENST00000398548,3,0,193,0,0,0,3
NTM_ENST00000427481,3,0,193,0,0,0,3
FAM3B_ENST00000398647,3,0,193,0,0,0,3
KIRREL1_ENST00000360089,3,0,193,0,0,0,3
PIGP_ENST00000399102,3,0,193,0,0,0,3
PRDM15_ENST00000447207,3,0,193,0,0,0,3
NTM_ENST00000539799,3,0,193,0,0,0,3
DYRK1A_ENST00000398956,3,0,193,0,0,0,3
DYRK1A_ENST00000646548,3,0,193,0,0,0,3
LCE3C,2,30,193,0,0,0,2
LCE3B,2,26,193,0,0,0,2
ZDHHC11,2,4,193,13,0,173,-11
KIF25,2,4,193,7,0,173,-5
KIF25_ENST00000443060,2,4,193,0,0,0,2
ZDHHC11B_ENST00000622126,2,4,193,0,0,0,2
ZDHHC11B_ENST00000382776,2,4,193,0,0,0,2
ZDHHC11_ENST00000424784,2,4,193,0,0,0,2
ZDHHC11B,2,4,193,0,0,0,2
P2RY8,2,2,193,8,1,173,-6
CSMD1,2,2,193,8,0,173,-6
LRRC37A2,2,2,193,7,1,173,-5
LRRC37A,2,2,193,7,0,173,-5
AFDN,2,2,193,4,0,173,-2
FRMD1,2,2,193,4,0,173,-2
AFDN_ENST00000392112,2,2,193,0,0,0,2
ARL17B_ENST00000622877,2,2,193,0,0,0,2
ARL17A_ENST00000570550,2,2,193,0,0,0,2
ARL17A_ENST00000445552,2,2,193,0,0,0,2
FRMD1_ENST00000646385,2,2,193,0,0,0,2
AFDN_ENST00000351017,2,2,193,0,0,0,2
ARL17A,2,2,193,0,0,0,2
FRMD1_ENST00000440994,2,2,193,0,0,0,2
ARL17B,2,2,193,0,0,0,2
KIF25_ENST00000351261,2,2,193,0,0,0,2
LRRC37A_ENST00000496930,2,2,193,0,0,0,2
ARL17B_ENST00000575960,2,2,193,0,0,0,2
ARL17B_ENST00000571246,2,2,193,0,0,0,2
ARL17A_ENST00000622488,2,2,193,0,0,0,2
FRMD1_ENST00000336070,2,2,193,0,0,0,2
CSMD1_ENST00000602723,2,2,193,0,0,0,2
ARL17B_ENST00000434041,2,2,193,0,0,0,2
CSMD1_ENST00000400186,2,2,193,0,0,0,2
KIF25_ENST00000354419,2,2,193,0,0,0,2
AFDN_ENST00000344191,2,2,193,0,0,0,2
AFDN_ENST00000400822,2,2,193,0,0,0,2
CSMD1_ENST00000520002,2,2,193,0,0,0,2
LRRC37A2_ENST00000333412,2,2,193,0,0,0,2
CSMD1_ENST00000602557,2,2,193,0,0,0,2
ARL17A_ENST00000329240,2,2,193,0,0,0,2
AFDN_ENST00000392108,2,2,193,0,0,0,2
FRMD1_ENST00000644440,2,2,193,0,0,0,2
AFDN_ENST00000447894,2,2,193,0,0,0,2
ARL17A_ENST00000573185,2,2,193,0,0,0,2
LRRC37A_ENST00000393465,2,2,193,0,0,0,2
ARL17B_ENST00000575698,2,2,193,0,0,0,2
OR4F21,2,1,193,13,0,173,-11
PCBP3,2,1,193,12,0,173,-10
ZNF596,2,1,193,12,0,173,-10
POFUT2,2,1,193,8,0,173,-6
COL18A1,2,1,193,8,0,173,-6
ZNF595,2,1,193,6,0,173,-4
FBXO25,2,1,193,5,3,173,-3
ASMT,2,1,193,5,0,173,-3
SLC19A1,2,1,193,4,0,173,-2
TDRP,2,1,193,1,0,173,1
TDRP_ENST00000427263,2,1,193,0,0,0,2
POFUT2_ENST00000615172,2,1,193,0,0,0,2
ZNF595_ENST00000509152,2,1,193,0,0,0,2
POFUT2_ENST00000612472,2,1,193,0,0,0,2
PCBP3_ENST00000400310,2,1,193,0,0,0,2
PCBP3_ENST00000400308,2,1,193,0,0,0,2
COL18A1_ENST00000400337,2,1,193,0,0,0,2
PCBP3_ENST00000400304,2,1,193,0,0,0,2
AKAP17A,2,1,193,0,0,0,2
PRB1_ENST00000546254,2,1,193,0,0,0,2
ZNF595_ENST00000609518,2,1,193,0,0,0,2
ZNF596_ENST00000640035,2,1,193,0,0,0,2
FBXO25_ENST00000350302,2,1,193,0,0,0,2
ASMT_ENST00000381229,2,1,193,0,0,0,2
ZNF596_ENST00000308811,2,1,193,0,0,0,2
FBXO25_ENST00000276326,2,1,193,0,0,0,2
PCBP3_ENST00000400309,2,1,193,0,0,0,2
ASMT_ENST00000381233,2,1,193,0,0,0,2
FBXO25_ENST00000352684,2,1,193,0,0,0,2
ZNF595_ENST00000608255,2,1,193,0,0,0,2
ZNF596_ENST00000320552,2,1,193,0,0,0,2
TDRP_ENST00000613071,2,1,193,0,0,0,2
SLC19A1_ENST00000380010,2,1,193,0,0,0,2
PCBP3_ENST00000449640,2,1,193,0,0,0,2
TDRP_ENST00000324079,2,1,193,0,0,0,2
AKAP17A_ENST00000381261,2,1,193,0,0,0,2
POFUT2_ENST00000331343,2,1,193,0,0,0,2
COL18A1_ENST00000355480,2,1,193,0,0,0,2
SLC19A1_ENST00000485649,2,1,193,0,0,0,2
SLC19A1_ENST00000567670,2,1,193,0,0,0,2
ABCG1,2,0,193,26,0,173,-24
TMPRSS3,2,0,193,23,0,173,-21
ITGB2,2,0,193,20,0,173,-18
UBASH3A,2,0,193,19,0,173,-17
ICOSLG,2,0,193,19,0,173,-17
PDXK,2,0,193,18,2,173,-16
SLC37A1,2,0,193,17,0,173,-15
CBR1,2,0,193,16,1,173,-14
PDE9A,2,0,193,15,0,173,-13
TRAPPC10,2,0,193,14,4,173,-12
SIK1,2,0,193,14,0,173,-12
OLFM2,2,0,193,14,0,173,-12
DIP2A,2,0,193,14,0,173,-12
KRTAP10-3,2,0,193,14,0,173,-12
COL6A2,2,0,193,14,0,173,-12
CBR3,2,0,193,14,0,173,-12
MN1,2,0,193,14,0,173,-12
DNMT3L,2,0,193,14,0,173,-12
AGPAT3,2,0,193,14,0,173,-12
RRP1B,2,0,193,14,0,173,-12
LRRC3,2,0,193,13,1,173,-11
UMODL1,2,0,193,13,0,173,-11
CSTB,2,0,193,13,0,173,-11
C21orf58,2,0,193,13,0,173,-11
S100B,2,0,193,13,0,173,-11
PRMT2,2,0,193,12,1,173,-10
GATD3A,2,0,193,11,1,173,-9
ZNF385A,2,0,193,11,0,173,-9
LSS,2,0,193,11,0,173,-9
SPATC1L,2,0,193,11,0,173,-9
TFF3,2,0,193,11,0,173,-9
NDUFV3,2,0,193,10,3,173,-8
CHAF1B,2,0,193,10,1,173,-8
PCNT,2,0,193,10,1,173,-8
DOP1B,2,0,193,10,0,173,-8
HSF2BP,2,0,193,10,0,173,-8
CBS,2,0,193,10,0,173,-8
RSPH1,2,0,193,10,0,173,-8
KRTAP10-2,2,0,193,10,0,173,-8
PPP1R1A,2,0,193,10,0,173,-8
ST3GAL4,2,0,193,10,0,173,-8
PTTG1IP,2,0,193,9,1,173,-7
PKNOX1,2,0,193,9,1,173,-7
SH3RF2,2,0,193,9,0,173,-7
DEFA1B,2,0,193,9,0,173,-7
HLA-A,2,0,193,9,0,173,-7
ZBTB21,2,0,193,9,0,173,-7
OR11H12,2,0,193,9,0,173,-7
NCKAP1L,2,0,193,8,2,173,-6
PWP2,2,0,193,8,1,173,-6
TLE1,2,0,193,8,0,173,-6
SHANK2,2,0,193,8,0,173,-6
HOXC4,2,0,193,8,0,173,-6
SLC25A37,2,0,193,8,0,173,-6
GTSF1,2,0,193,8,0,173,-6
WDR4,2,0,193,8,0,173,-6
ITGA5,2,0,193,8,0,173,-6
U2AF1,2,0,193,8,0,173,-6
CFAP410,2,0,193,8,0,173,-6
MCM3AP,2,0,193,7,3,173,-5
MORC3,2,0,193,7,3,173,-5
CBX5,2,0,193,7,1,173,-5
NBDY,2,0,193,7,0,173,-5
PLXNC1,2,0,193,7,0,173,-5
CRYAA,2,0,193,7,0,173,-5
PDE1B,2,0,193,7,0,173,-5
DPYS,2,0,193,7,0,173,-5
OR4M1,2,0,193,7,0,173,-5
SUMO3,2,0,193,7,0,173,-5
TMEM266,2,0,193,7,0,173,-5
POTEG,2,0,193,7,0,173,-5
GPR84,2,0,193,6,0,173,-4
PFKL,2,0,193,6,0,173,-4
TINCR,2,0,193,6,0,173,-4
OR4N2,2,0,193,6,0,173,-4
RRP1,2,0,193,6,0,173,-4
PTPRS,2,0,193,6,0,173,-4
TFF2,2,0,193,6,0,173,-4
UBE2G2,2,0,193,6,0,173,-4
ADARB1,2,0,193,5,0,173,-3
ATP5MC2,2,0,193,5,0,173,-3
CLDN14,2,0,193,5,0,173,-3
HOXC13,2,0,193,5,0,173,-3
KRTAP10-10,2,0,193,5,0,173,-3
KRTAP10-6,2,0,193,5,0,173,-3
COL6A1,2,0,193,5,0,173,-3
SETD4,2,0,193,5,0,173,-3
COPZ1,2,0,193,4,1,173,-2
HLA-DRA,2,0,193,4,0,173,-2
KRTAP10-1,2,0,193,4,0,173,-2
SYN3,2,0,193,4,0,173,-2
DEFB125,2,0,193,4,0,173,-2
BOC,2,0,193,4,0,173,-2
HNRNPA1,2,0,193,4,0,173,-2
KRTAP10-4,2,0,193,4,0,173,-2
TMEM268,2,0,193,4,0,173,-2
NFE2,2,0,193,3,1,173,-1
SYNPR,2,0,193,3,0,173,-1
KRTAP12-3,2,0,193,3,0,173,-1
KRTAP10-9,2,0,193,3,0,173,-1
KRTAP12-2,2,0,193,3,0,173,-1
COL14A1,2,0,193,3,0,173,-1
SMUG1,2,0,193,2,6,173,0
KRTAP10-7,2,0,193,2,0,173,0
CALCOCO1,2,0,193,2,0,173,0
KRTAP10-11,2,0,193,2,0,173,0
AIRE,2,0,193,2,0,173,0
HOXC6,2,0,193,2,0,173,0
TFF1,2,0,193,2,0,173,0
HOXC12,2,0,193,2,0,173,0
KRTAP12-1,2,0,193,2,0,173,0
KRTAP10-5,2,0,193,2,0,173,0
HOXC5,2,0,193,2,0,173,0
HOXC9,2,0,193,2,0,173,0
TRPC6,2,0,193,2,0,173,0
FTCD,2,0,193,1,0,173,1
OR4K1,2,0,193,1,0,173,1
DEFA5,2,0,193,1,0,173,1
CACNG2,2,0,193,1,0,173,1
SPAG11B,2,0,193,1,0,173,1
HOXC8,2,0,193,1,0,173,1
OR4Q3,2,0,193,1,0,173,1
OR4K5,2,0,193,1,0,173,1
SPAG11A,2,0,193,1,0,173,1
HOXC11,2,0,193,1,0,173,1
HOXC10,2,0,193,1,0,173,1
SETD4_ENST00000399201,2,0,193,0,0,0,2
ST3GAL4_ENST00000392669,2,0,193,0,0,0,2
SPATC1L_ENST00000330205,2,0,193,0,0,0,2
PTTG1IP_ENST00000397887,2,0,193,0,0,0,2
AGPAT3_ENST00000398058,2,0,193,0,0,0,2
OR4N2_ENST00000557677,2,0,193,0,0,0,2
COPZ1_ENST00000551779,2,0,193,0,0,0,2
DEFB103B,2,0,193,0,0,0,2
MLIP_ENST00000370876,2,0,193,0,0,0,2
TRPM2_ENST00000300482,2,0,193,0,0,0,2
ZNF385A_ENST00000394313,2,0,193,0,0,0,2
PKNOX1_ENST00000432907,2,0,193,0,0,0,2
CASP12,2,0,193,0,0,0,2
GATD3A_ENST00000644251,2,0,193,0,0,0,2
SPAG11A_ENST00000351436,2,0,193,0,0,0,2
NFE2_ENST00000435572,2,0,193,0,0,0,2
ABCG1_ENST00000398457,2,0,193,0,0,0,2
LSS_ENST00000457828,2,0,193,0,0,0,2
PRMT2_ENST00000397628,2,0,193,0,0,0,2
U2AF1_ENST00000380276,2,0,193,0,0,0,2
ST3GAL4_ENST00000356132,2,0,193,0,0,0,2
C21orf58_ENST00000397683,2,0,193,0,0,0,2
LACRT_ENST00000547511,2,0,193,0,0,0,2
OR11H2_ENST00000556246,2,0,193,0,0,0,2
OR4K2_ENST00000298642,2,0,193,0,0,0,2
OR4N2_ENST00000315947,2,0,193,0,0,0,2
FAM207A,2,0,193,0,0,0,2
ZNF385A_ENST00000546970,2,0,193,0,0,0,2
DEFB107A,2,0,193,0,0,0,2
SPAG11A_ENST00000434307,2,0,193,0,0,0,2
PDE9A_ENST00000380328,2,0,193,0,0,0,2
SMUG1_ENST00000243112,2,0,193,0,0,0,2
TMPRSS3_ENST00000398397,2,0,193,0,0,0,2
HLA-A_ENST00000638375,2,0,193,0,0,0,2
OR11H2,2,0,193,0,0,0,2
GATD3A_ENST00000348499,2,0,193,0,0,0,2
NBDY_ENST00000423617,2,0,193,0,0,0,2
COPZ1_ENST00000549116,2,0,193,0,0,0,2
ADARB1_ENST00000437626,2,0,193,0,0,0,2
PDE1B_ENST00000538346,2,0,193,0,0,0,2
DEFB106B,2,0,193,0,0,0,2
CFAP410_ENST00000325223,2,0,193,0,0,0,2
HOXC9_ENST00000508190,2,0,193,0,0,0,2
AGPAT3_ENST00000546158,2,0,193,0,0,0,2
TRPM2_ENST00000300481,2,0,193,0,0,0,2
TINCR_ENST00000646160,2,0,193,0,0,0,2
PTPRS_ENST00000592099,2,0,193,0,0,0,2
CLDN14_ENST00000342108,2,0,193,0,0,0,2
PRR23D1,2,0,193,0,0,0,2
ITGB2_ENST00000355153,2,0,193,0,0,0,2
PRMT2_ENST00000440086,2,0,193,0,0,0,2
YBEY_ENST00000397692,2,0,193,0,0,0,2
PPP1R1A_ENST00000547431,2,0,193,0,0,0,2
COL14A1_ENST00000537875,2,0,193,0,0,0,2
ZNF385A_ENST00000551109,2,0,193,0,0,0,2
PDE9A_ENST00000398236,2,0,193,0,0,0,2
PDXK_ENST00000467908,2,0,193,0,0,0,2
SHANK2_ENST00000449116,2,0,193,0,0,0,2
PDE9A_ENST00000398225,2,0,193,0,0,0,2
TRPM2,2,0,193,0,0,0,2
KRTAP10-9_ENST00000616529,2,0,193,0,0,0,2
BOC_ENST00000484034,2,0,193,0,0,0,2
SETD4_ENST00000332131,2,0,193,0,0,0,2
PDE9A_ENST00000398224,2,0,193,0,0,0,2
NBDY_ENST00000637096,2,0,193,0,0,0,2
TRAPPC10_ENST00000380221,2,0,193,0,0,0,2
TMPRSS3_ENST00000398405,2,0,193,0,0,0,2
ITGB2_ENST00000397857,2,0,193,0,0,0,2
TMPRSS3_ENST00000644384,2,0,193,0,0,0,2
SUMO3_ENST00000397898,2,0,193,0,0,0,2
GTSF1_ENST00000305879,2,0,193,0,0,0,2
SETD4_ENST00000399208,2,0,193,0,0,0,2
CALCOCO1_ENST00000430117,2,0,193,0,0,0,2
BOC_ENST00000495514,2,0,193,0,0,0,2
UMODL1_ENST00000400427,2,0,193,0,0,0,2
DIP2A_ENST00000435722,2,0,193,0,0,0,2
ZBTB21_ENST00000398499,2,0,193,0,0,0,2
RSPH1_ENST00000398352,2,0,193,0,0,0,2
SMUG1_ENST00000337581,2,0,193,0,0,0,2
ITGB2_ENST00000302347,2,0,193,0,0,0,2
COPZ1_ENST00000553231,2,0,193,0,0,0,2
SYNPR_ENST00000450542,2,0,193,0,0,0,2
TRPM2_ENST00000621064,2,0,193,0,0,0,2
HOXC6_ENST00000394331,2,0,193,0,0,0,2
USP17L8,2,0,193,0,0,0,2
PDE9A_ENST00000349112,2,0,193,0,0,0,2
KRTAP10-8,2,0,193,0,0,0,2
SHANK2_ENST00000409161,2,0,193,0,0,0,2
CLDN14_ENST00000399135,2,0,193,0,0,0,2
MLIP_ENST00000514921,2,0,193,0,0,0,2
SH3RF2_ENST00000359120,2,0,193,0,0,0,2
DEFB105B,2,0,193,0,0,0,2
SPAG11A_ENST00000642566,2,0,193,0,0,0,2
SETD4_ENST00000399212,2,0,193,0,0,0,2
CLDN14_ENST00000399139,2,0,193,0,0,0,2
ZBTB21_ENST00000398511,2,0,193,0,0,0,2
HLA-A_ENST00000376802,2,0,193,0,0,0,2
SPAG11B_ENST00000317900,2,0,193,0,0,0,2
YBEY_ENST00000397691,2,0,193,0,0,0,2
CBR1_ENST00000530908,2,0,193,0,0,0,2
CBS_ENST00000352178,2,0,193,0,0,0,2
SHANK2_ENST00000409530,2,0,193,0,0,0,2
AGPAT3_ENST00000398061,2,0,193,0,0,0,2
TRPC6_ENST00000532133,2,0,193,0,0,0,2
HLA-A_ENST00000376809,2,0,193,0,0,0,2
YBEY_ENST00000339195,2,0,193,0,0,0,2
ADARB1_ENST00000629643,2,0,193,0,0,0,2
ST3GAL4_ENST00000444328,2,0,193,0,0,0,2
ICOSLG_ENST00000407780,2,0,193,0,0,0,2
PTPRS_ENST00000262963,2,0,193,0,0,0,2
PDE9A_ENST00000398232,2,0,193,0,0,0,2
NDUFV3_ENST00000340344,2,0,193,0,0,0,2
PDE9A_ENST00000398229,2,0,193,0,0,0,2
DIP2A_ENST00000400274,2,0,193,0,0,0,2
COPZ1_ENST00000455864,2,0,193,0,0,0,2
CBX5_ENST00000550411,2,0,193,0,0,0,2
DEFB104A,2,0,193,0,0,0,2
PRMT2_ENST00000451211,2,0,193,0,0,0,2
TFF3_ENST00000291525,2,0,193,0,0,0,2
UBE2G2_ENST00000330942,2,0,193,0,0,0,2
KRTAP10-12,2,0,193,0,0,0,2
ICOSLG_ENST00000400379,2,0,193,0,0,0,2
PRMT2_ENST00000621201,2,0,193,0,0,0,2
HNRNPA1_ENST00000546500,2,0,193,0,0,0,2
PDXK_ENST00000398081,2,0,193,0,0,0,2
TRPM2_ENST00000397928,2,0,193,0,0,0,2
ADARB1_ENST00000611195,2,0,193,0,0,0,2
SMUG1_ENST00000513838,2,0,193,0,0,0,2
AGPAT3_ENST00000327505,2,0,193,0,0,0,2
SPAG11A_ENST00000454911,2,0,193,0,0,0,2
COL6A1_ENST00000612273,2,0,193,0,0,0,2
PDXK_ENST00000468090,2,0,193,0,0,0,2
COPZ1_ENST00000262061,2,0,193,0,0,0,2
PRR23D2,2,0,193,0,0,0,2
PDE9A_ENST00000398234,2,0,193,0,0,0,2
USP17L3,2,0,193,0,0,0,2
TSPEAR_ENST00000613245,2,0,193,0,0,0,2
HNRNPA1_ENST00000330752,2,0,193,0,0,0,2
C21orf58_ENST00000397680,2,0,193,0,0,0,2
DEFB106A,2,0,193,0,0,0,2
H2BFS,2,0,193,0,0,0,2
AC012531.3,2,0,193,0,0,0,2
ITGB2_ENST00000397846,2,0,193,0,0,0,2
GPR84_ENST00000267015,2,0,193,0,0,0,2
SPAG11A_ENST00000326625,2,0,193,0,0,0,2
LCE3A,2,0,193,0,0,0,2
YBEY_ENST00000397701,2,0,193,0,0,0,2
COPZ1_ENST00000552218,2,0,193,0,0,0,2
DEFB4A,2,0,193,0,0,0,2
ICOSLG_ENST00000400377,2,0,193,0,0,0,2
ST3GAL4_ENST00000534457,2,0,193,0,0,0,2
TMEM268_ENST00000288502,2,0,193,0,0,0,2
ZNF705B,2,0,193,0,0,0,2
PTTG1IP_ENST00000397886,2,0,193,0,0,0,2
ABCG1_ENST00000398449,2,0,193,0,0,0,2
DCD_ENST00000293371,2,0,193,0,0,0,2
ATP5MC2_ENST00000552242,2,0,193,0,0,0,2
LSS_ENST00000356396,2,0,193,0,0,0,2
UBASH3A_ENST00000291535,2,0,193,0,0,0,2
MLIP_ENST00000509997,2,0,193,0,0,0,2
DIP2A_ENST00000466639,2,0,193,0,0,0,2
SMUG1_ENST00000514685,2,0,193,0,0,0,2
OR4K1_ENST00000641172,2,0,193,0,0,0,2
C21orf58_ENST00000397679,2,0,193,0,0,0,2
GATD3A_ENST00000427803,2,0,193,0,0,0,2
HLA-DRA_ENST00000374982,2,0,193,0,0,0,2
ADARB1_ENST00000348831,2,0,193,0,0,0,2
SPAG11B_ENST00000359758,2,0,193,0,0,0,2
